Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Niue,Niuean,Niueans,Niuan,,
Norfolk Island,Norfolk Island,Norfolk Islanders,,,
North Macedonia,Macedonian,Macedonians,,,
Northern Cyprus,Northern Cypriot,Turkish Cypriot,Northern Cypriots,Turkish Cypriots,Cypriot Turks
Northern Ireland,Northern Irish,Northern Irishmen and Northern Irishwomen,,,
Northern Mariana Islands,Northern Marianan,Northern Marianans,,,
Norway,Norwegian,Norwegians,,,
Oman,Omani,Omanis,,,
Pakistan,Pakistani,Pakistanis,,,
Palau,Palauan,Palauans,,,
Palestine,Palestinian,Palestinians,,,
Panama,Panamanian,Panamanians,,,
Papua New Guinea,Papua New Guinean,Papuan,Papua New Guineans,Papuans,
Paraguay,Paraguayan,Paraguayans,,,
Peru,Peruvian,Peruvians,,,
Philippines,Filipino,Philippine,Filipinos,Filipinas,
Pitcairn Islands,Pitcairn Island,Pitcairn Islanders,,,
Poland,Polish,Poles,,,
Portugal,Portuguese,,,,
Puerto Rico,Puerto Rican,Puerto Ricans,,,
Qatar,Qatari,Qataris,,,
Réunion,Réunionese,Réunionnais,Réunionnais and Réunionnaises,,
Romania,Romanian,Romanians,,,
Russia,Russian,Russians,,,
Rwanda,Rwandan,Rwandans,Banyarwanda,,
Saba,Saban,Sabans,,,
Saint Barthélemy,Barthélemois,Barthélemoises,Saint Barthélemois,,
Saint Helena,Saint Helenian,Ascension Island,Tristanian,Saint Helenians,Ascension Islanders
Saint Kitts and Nevis,Kittitian,Nevisian,Kittitians,Nevisians,
Saint Lucia,Saint Lucian,Saint Lucians,,,
Saint Martin,Saint-Martinoise,Saint-Martinois,Saint-Martinoises,,
Saint Pierre and Miquelon,Saint-Pierrais,Miquelonnais,Saint-Pierraises,Miquelonnaises,Saint Pierre and Miquelon Islanders
Saint Vincent and the Grenadines,Saint Vincentian,Vincentian,Saint Vincentians,Vincentians,
Samoa,Samoan,Samoans,,,
San Marino,San Marinese,Sammarinese,,,
São Tomé and Príncipe,São Toméan,São Toméans,,,
Saudi Arabia,Saudi,Saudi Arabian,Saudis,Saudi Arabians,
Scotland,Scottish,Scots,Scotsmen and Scotswomen,,
Senegal,Senegalese,,,,
Serbia,Serbian,Serbs,Serbians,,
Seychelles,Seychellois,Seychelloises,,,
Sierra Leone,Sierra Leonean,Sierra Leoneans,,,
Singapore,Singapore,Singaporean,Singaporeans,,
Sint Eustatius,Sint Eustatius,Statian,Statians,,
Sint Maarten,Sint Maarten,Sint Maarteners,,,
Slovakia,Slovak,Slovaks,Slovakians,,
Slovenia,Slovenian,Slovene,Slovenes,Slovenians,
Solomon Islands,Solomon Islands,Solomon Islander,Solomon Islanders,,
Somalia,Somali,Somalis,,,
Somaliland,Somalilander,Somalilanders,,,
South Africa,South African,South Africans,,,
South Georgia and the South Sandwich Islands,South Georgia Island,South Sandwich Island,South Georgia Islanders,South Sandwich Islanders,
South Ossetia,South Ossetian,South Ossetians,,,
South Sudan,South Sudanese,,,,
Spain,Spanish,Spaniards,,,
Sri Lanka,Sri Lankan,Sri Lankans,,,
Sudan,Sudanese,,,,
Suriname,Surinamese,Surinamers,,,
Svalbard,Svalbard,Svalbardians,Svalbard residents,,
Sweden,Swedish,Swedes,,,
Switzerland,Swiss,,,,
Syria,Syrian,Syrians,,,
Taiwan,Taiwanese,Formosan,Formosans,,
Tajikistan,Tajikistani,Tajikistanis,Tajiks,Tajik,
Tanzania,Tanzanian,Tanzanians,,,
Thailand,Thai,,,,
Timor-Leste,Timorese,,,,
Togo,Togolese,,,,
Tokelau,Tokelauan,Tokelauans,,,
Tonga,Tongan,Tongans,,,
Transnistria,Transnistrian,Pridnestrovian,Transnistrians,Pridnestrovians,
Trinidad and Tobago,Trinidadian,Tobagonian,Trinidadians,Tobagonians,
Tunisia,Tunisian,Tunisians,,,
Turkey,Turkish,Turks,,,
Turkmenistan,Turkmen,Turkmens,,,
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islanders,,,
Tuvalu,Tuvaluan,Tuvaluans,,,
Uganda,Ugandan,Ugandans,,,
Ukraine,Ukrainian,Ukrainians,,,
United Arab Emirates,Emirati,Emirian,Emiri,United Arab Emirati,Emirians
United Kingdom,British,United Kingdom,UK,Britons,British people
United States of America,American,United States,U.S.,Americans,
Uruguay,Uruguayan,Uruguayans,,,
Uzbekistan,Uzbekistani,Uzbek,Uzbekistanis,Uzbeks,
Vanuatu,Ni-Vanuatu,Vanuatuan,,,
Vatican City,Vaticanian,Vaticanians,,,
Venezuela,Venezuelan,Venezuelans,,,
Vietnam,Vietnamese,,,,
British Virgin Islands,British Virgin Island,British Virgin Islanders,,,
United States Virgin Islands,U.S. Virgin Island,U.S. Virgin Islanders,,,
Wales,Welsh,Welshmen and Welshwomen,,,
Wallis and Futuna,Wallis and Futuna,Wallisian,Futunan,Wallis and Futuna Islanders,Wallisians
Western Sahara,Sahrawi,Saharawi,Western Saharan,Sahrawis,Saharawis
Yemen,Yemeni,Yemenis,,,
Zambia,Zambian,Zambians,,,
Zimbabwe,Zimbabwean,Zimbabweans,,,
